host,variant,epoch,train_loss,source
cbramod,tridim,40,0.096786,checkpoint filename epoch<N>_loss<X>.pth
csbrain,official,2,0.185272,checkpoint filename epoch<N>_loss<X>.pth
csbrain,official,3,0.167285,checkpoint filename epoch<N>_loss<X>.pth
csbrain,official,4,0.156836,checkpoint filename epoch<N>_loss<X>.pth
csbrain,official,5,0.153412,checkpoint filename epoch<N>_loss<X>.pth
csbrain,official,6,0.146746,checkpoint filename epoch<N>_loss<X>.pth
csbrain,official,7,0.143544,checkpoint filename epoch<N>_loss<X>.pth
csbrain,official,8,0.140171,checkpoint filename epoch<N>_loss<X>.pth
csbrain,official,9,0.137764,checkpoint filename epoch<N>_loss<X>.pth
csbrain,official,10,0.135566,checkpoint filename epoch<N>_loss<X>.pth
csbrain,official,11,0.133501,checkpoint filename epoch<N>_loss<X>.pth
csbrain,official,12,0.131481,checkpoint filename epoch<N>_loss<X>.pth
csbrain,official,13,0.129518,checkpoint filename epoch<N>_loss<X>.pth
csbrain,official,14,0.128031,checkpoint filename epoch<N>_loss<X>.pth
csbrain,official,15,0.126760,checkpoint filename epoch<N>_loss<X>.pth
csbrain,official,16,0.125162,checkpoint filename epoch<N>_loss<X>.pth
csbrain,official,17,0.123792,checkpoint filename epoch<N>_loss<X>.pth
csbrain,official,18,0.122465,checkpoint filename epoch<N>_loss<X>.pth
csbrain,official,19,0.121352,checkpoint filename epoch<N>_loss<X>.pth
csbrain,official,20,0.120022,checkpoint filename epoch<N>_loss<X>.pth
csbrain,official,21,0.119055,checkpoint filename epoch<N>_loss<X>.pth
csbrain,official,22,0.117389,checkpoint filename epoch<N>_loss<X>.pth
csbrain,official,23,0.116715,checkpoint filename epoch<N>_loss<X>.pth
csbrain,official,24,0.115458,checkpoint filename epoch<N>_loss<X>.pth
csbrain,official,25,0.114232,checkpoint filename epoch<N>_loss<X>.pth
csbrain,official,26,0.113409,checkpoint filename epoch<N>_loss<X>.pth
csbrain,official,27,0.112203,checkpoint filename epoch<N>_loss<X>.pth
csbrain,official,28,0.111245,checkpoint filename epoch<N>_loss<X>.pth
csbrain,official,29,0.110305,checkpoint filename epoch<N>_loss<X>.pth
csbrain,official,30,0.109741,checkpoint filename epoch<N>_loss<X>.pth
csbrain,official,31,0.108855,checkpoint filename epoch<N>_loss<X>.pth
csbrain,official,32,0.108207,checkpoint filename epoch<N>_loss<X>.pth
csbrain,official,33,0.107307,checkpoint filename epoch<N>_loss<X>.pth
csbrain,official,34,0.106751,checkpoint filename epoch<N>_loss<X>.pth
csbrain,official,35,0.106278,checkpoint filename epoch<N>_loss<X>.pth
csbrain,official,36,0.105807,checkpoint filename epoch<N>_loss<X>.pth
csbrain,official,37,0.105418,checkpoint filename epoch<N>_loss<X>.pth
csbrain,official,38,0.105031,checkpoint filename epoch<N>_loss<X>.pth
csbrain,official,39,0.104728,checkpoint filename epoch<N>_loss<X>.pth
csbrain,official,40,0.104663,checkpoint filename epoch<N>_loss<X>.pth
csbrain,tridim,2,0.217379,checkpoint filename epoch<N>_loss<X>.pth
csbrain,tridim,3,0.190287,checkpoint filename epoch<N>_loss<X>.pth
csbrain,tridim,4,0.177452,checkpoint filename epoch<N>_loss<X>.pth
csbrain,tridim,5,0.168574,checkpoint filename epoch<N>_loss<X>.pth
csbrain,tridim,6,0.162020,checkpoint filename epoch<N>_loss<X>.pth
csbrain,tridim,7,0.156157,checkpoint filename epoch<N>_loss<X>.pth
csbrain,tridim,8,0.152124,checkpoint filename epoch<N>_loss<X>.pth
csbrain,tridim,9,0.148717,checkpoint filename epoch<N>_loss<X>.pth
csbrain,tridim,10,0.145053,checkpoint filename epoch<N>_loss<X>.pth
